"","Var1","Freq","DateTime","FinancialMonth","FinancialWeek","WeekDay","Hour","RouteID","StopID","Number","StopType","SuburbName","PostCode","LocalGovernmentArea","status"
"1","2015-10-04 05:00:00",1,2015-10-04 05:54:26,10,14,7,1,10,19902,1,"Platform","Ringwood",3134,"Maroondah",NA
"2","2015-10-04 06:00:00",1,2015-10-04 05:54:26,10,14,7,1,10,19902,1,"Platform","Ringwood",3134,"Maroondah",NA
"3","2015-10-04 07:00:00",2,2015-10-04 05:54:26,10,14,7,1,10,19902,1,"Platform","Ringwood",3134,"Maroondah",NA
"4","2015-10-04 08:00:00",5,2015-10-04 05:54:26,10,14,7,1,10,19902,1,"Platform","Ringwood",3134,"Maroondah",NA
"5","2015-10-04 05:00:00",1,2015-10-04 06:19:47,10,14,7,2,10,19902,1,"Platform","Ringwood",3134,"Maroondah",NA
"6","2015-10-04 06:00:00",1,2015-10-04 06:19:47,10,14,7,2,10,19902,1,"Platform","Ringwood",3134,"Maroondah",NA
"7","2015-10-04 07:00:00",2,2015-10-04 06:19:47,10,14,7,2,10,19902,1,"Platform","Ringwood",3134,"Maroondah",NA
"8","2015-10-04 08:00:00",5,2015-10-04 06:19:47,10,14,7,2,10,19902,1,"Platform","Ringwood",3134,"Maroondah",NA
"9","2015-10-04 05:00:00",1,2015-10-04 07:09:51,10,14,7,3,10,19902,1,"Platform","Ringwood",3134,"Maroondah",NA
"10","2015-10-04 06:00:00",1,2015-10-04 07:09:51,10,14,7,3,10,19902,1,"Platform","Ringwood",3134,"Maroondah",NA
"11","2015-10-04 07:00:00",2,2015-10-04 07:09:51,10,14,7,3,10,19902,1,"Platform","Ringwood",3134,"Maroondah",NA
"12","2015-10-04 08:00:00",5,2015-10-04 07:09:51,10,14,7,3,10,19902,1,"Platform","Ringwood",3134,"Maroondah",NA
"13","2015-10-04 05:00:00",1,2015-10-04 07:15:16,10,14,7,3,10,19902,1,"Platform","Ringwood",3134,"Maroondah",NA
"14","2015-10-04 06:00:00",1,2015-10-04 07:15:16,10,14,7,3,10,19902,1,"Platform","Ringwood",3134,"Maroondah",NA
"15","2015-10-04 07:00:00",2,2015-10-04 07:15:16,10,14,7,3,10,19902,1,"Platform","Ringwood",3134,"Maroondah",NA
"16","2015-10-04 08:00:00",5,2015-10-04 07:15:16,10,14,7,3,10,19902,1,"Platform","Ringwood",3134,"Maroondah",NA
"17","2015-10-04 05:00:00",1,2015-10-04 08:14:55,10,14,7,4,10,19902,1,"Platform","Ringwood",3134,"Maroondah",NA
"18","2015-10-04 06:00:00",1,2015-10-04 08:14:55,10,14,7,4,10,19902,1,"Platform","Ringwood",3134,"Maroondah",NA
"19","2015-10-04 07:00:00",2,2015-10-04 08:14:55,10,14,7,4,10,19902,1,"Platform","Ringwood",3134,"Maroondah",NA
"20","2015-10-04 08:00:00",5,2015-10-04 08:14:55,10,14,7,4,10,19902,1,"Platform","Ringwood",3134,"Maroondah",NA
"21","2015-10-04 05:00:00",1,2015-10-04 08:24:05,10,14,7,4,10,19902,1,"Platform","Ringwood",3134,"Maroondah",NA
"22","2015-10-04 06:00:00",1,2015-10-04 08:24:05,10,14,7,4,10,19902,1,"Platform","Ringwood",3134,"Maroondah",NA
"23","2015-10-04 07:00:00",2,2015-10-04 08:24:05,10,14,7,4,10,19902,1,"Platform","Ringwood",3134,"Maroondah",NA
"24","2015-10-04 08:00:00",5,2015-10-04 08:24:05,10,14,7,4,10,19902,1,"Platform","Ringwood",3134,"Maroondah",NA
"25","2015-10-04 05:00:00",1,2015-10-04 08:33:27,10,14,7,4,10,19902,1,"Platform","Ringwood",3134,"Maroondah",NA
"26","2015-10-04 06:00:00",1,2015-10-04 08:33:27,10,14,7,4,10,19902,1,"Platform","Ringwood",3134,"Maroondah",NA
"27","2015-10-04 07:00:00",2,2015-10-04 08:33:27,10,14,7,4,10,19902,1,"Platform","Ringwood",3134,"Maroondah",NA
"28","2015-10-04 08:00:00",5,2015-10-04 08:33:27,10,14,7,4,10,19902,1,"Platform","Ringwood",3134,"Maroondah",NA
"29","2015-10-04 05:00:00",1,2015-10-04 08:38:14,10,14,7,4,10,19902,1,"Platform","Ringwood",3134,"Maroondah",NA
"30","2015-10-04 06:00:00",1,2015-10-04 08:38:14,10,14,7,4,10,19902,1,"Platform","Ringwood",3134,"Maroondah",NA
"31","2015-10-04 07:00:00",2,2015-10-04 08:38:14,10,14,7,4,10,19902,1,"Platform","Ringwood",3134,"Maroondah",NA
"32","2015-10-04 08:00:00",5,2015-10-04 08:38:14,10,14,7,4,10,19902,1,"Platform","Ringwood",3134,"Maroondah",NA
"33","2015-10-04 05:00:00",1,2015-10-04 08:42:32,10,14,7,4,10,19902,1,"Platform","Ringwood",3134,"Maroondah",NA
"34","2015-10-04 06:00:00",1,2015-10-04 08:42:32,10,14,7,4,10,19902,1,"Platform","Ringwood",3134,"Maroondah",NA
"35","2015-10-04 07:00:00",2,2015-10-04 08:42:32,10,14,7,4,10,19902,1,"Platform","Ringwood",3134,"Maroondah",NA
"36","2015-10-04 08:00:00",5,2015-10-04 08:42:32,10,14,7,4,10,19902,1,"Platform","Ringwood",3134,"Maroondah",NA
"37","2015-10-04 06:00:00",2,2015-10-04 06:30:56,10,14,7,2,10,19878,1,"Platform","Croydon",3136,"Maroondah",NA
"38","2015-10-04 07:00:00",2,2015-10-04 06:30:56,10,14,7,2,10,19878,1,"Platform","Croydon",3136,"Maroondah",NA
"39","2015-10-04 08:00:00",2,2015-10-04 06:30:56,10,14,7,2,10,19878,1,"Platform","Croydon",3136,"Maroondah",NA
"40","2015-10-04 06:00:00",2,2015-10-04 06:55:39,10,14,7,2,10,19878,1,"Platform","Croydon",3136,"Maroondah",NA
