"","Var1","Freq","DateTime","FinancialMonth","FinancialWeek","WeekDay","Hour","RouteID","StopID","Number","StopType","SuburbName","PostCode","LocalGovernmentArea","status","Lat","Long"
"1","2015-09-06 05:00:00",1,2015-09-06 05:53:14,9,10,7,1,14,19880,1,"Platform","Pakenham",3810,"Cardinia","Not Busy",-38.080612,145.486374
"2","2015-09-06 06:00:00",2,2015-09-06 05:53:14,9,10,7,1,14,19880,1,"Platform","Pakenham",3810,"Cardinia","Not Busy",-38.080612,145.486374
"3","2015-09-06 07:00:00",3,2015-09-06 05:53:14,9,10,7,1,14,19880,1,"Platform","Pakenham",3810,"Cardinia","Not Busy",-38.080612,145.486374
"4","2015-09-06 08:00:00",1,2015-09-06 05:53:14,9,10,7,1,14,19880,1,"Platform","Pakenham",3810,"Cardinia","Not Busy",-38.080612,145.486374
"5","2015-09-06 09:00:00",3,2015-09-06 05:53:14,9,10,7,1,14,19880,1,"Platform","Pakenham",3810,"Cardinia","Not Busy",-38.080612,145.486374
"6","2015-09-06 10:00:00",10,2015-09-06 05:53:14,9,10,7,1,14,19880,1,"Platform","Pakenham",3810,"Cardinia","Slightly Busy",-38.080612,145.486374
"7","2015-09-06 05:00:00",1,2015-09-06 06:22:08,9,10,7,2,14,19880,1,"Platform","Pakenham",3810,"Cardinia","Not Busy",-38.080612,145.486374
"8","2015-09-06 06:00:00",2,2015-09-06 06:22:08,9,10,7,2,14,19880,1,"Platform","Pakenham",3810,"Cardinia","Not Busy",-38.080612,145.486374
"9","2015-09-06 07:00:00",3,2015-09-06 06:22:08,9,10,7,2,14,19880,1,"Platform","Pakenham",3810,"Cardinia","Not Busy",-38.080612,145.486374
"10","2015-09-06 08:00:00",1,2015-09-06 06:22:08,9,10,7,2,14,19880,1,"Platform","Pakenham",3810,"Cardinia","Not Busy",-38.080612,145.486374
"11","2015-09-06 09:00:00",3,2015-09-06 06:22:08,9,10,7,2,14,19880,1,"Platform","Pakenham",3810,"Cardinia","Not Busy",-38.080612,145.486374
"12","2015-09-06 10:00:00",10,2015-09-06 06:22:08,9,10,7,2,14,19880,1,"Platform","Pakenham",3810,"Cardinia","Slightly Busy",-38.080612,145.486374
"13","2015-09-06 05:00:00",1,2015-09-06 06:40:39,9,10,7,2,14,19880,1,"Platform","Pakenham",3810,"Cardinia","Not Busy",-38.080612,145.486374
"14","2015-09-06 06:00:00",2,2015-09-06 06:40:39,9,10,7,2,14,19880,1,"Platform","Pakenham",3810,"Cardinia","Not Busy",-38.080612,145.486374
"15","2015-09-06 07:00:00",3,2015-09-06 06:40:39,9,10,7,2,14,19880,1,"Platform","Pakenham",3810,"Cardinia","Not Busy",-38.080612,145.486374
"16","2015-09-06 08:00:00",1,2015-09-06 06:40:39,9,10,7,2,14,19880,1,"Platform","Pakenham",3810,"Cardinia","Not Busy",-38.080612,145.486374
"17","2015-09-06 09:00:00",3,2015-09-06 06:40:39,9,10,7,2,14,19880,1,"Platform","Pakenham",3810,"Cardinia","Not Busy",-38.080612,145.486374
"18","2015-09-06 10:00:00",10,2015-09-06 06:40:39,9,10,7,2,14,19880,1,"Platform","Pakenham",3810,"Cardinia","Slightly Busy",-38.080612,145.486374
"19","2015-09-06 05:00:00",1,2015-09-06 07:29:46,9,10,7,3,14,19880,1,"Platform","Pakenham",3810,"Cardinia","Not Busy",-38.080612,145.486374
"20","2015-09-06 06:00:00",2,2015-09-06 07:29:46,9,10,7,3,14,19880,1,"Platform","Pakenham",3810,"Cardinia","Not Busy",-38.080612,145.486374
"21","2015-09-06 07:00:00",3,2015-09-06 07:29:46,9,10,7,3,14,19880,1,"Platform","Pakenham",3810,"Cardinia","Not Busy",-38.080612,145.486374
"22","2015-09-06 08:00:00",1,2015-09-06 07:29:46,9,10,7,3,14,19880,1,"Platform","Pakenham",3810,"Cardinia","Not Busy",-38.080612,145.486374
"23","2015-09-06 09:00:00",3,2015-09-06 07:29:46,9,10,7,3,14,19880,1,"Platform","Pakenham",3810,"Cardinia","Not Busy",-38.080612,145.486374
"24","2015-09-06 10:00:00",10,2015-09-06 07:29:46,9,10,7,3,14,19880,1,"Platform","Pakenham",3810,"Cardinia","Slightly Busy",-38.080612,145.486374
"25","2015-09-06 05:00:00",1,2015-09-06 07:29:54,9,10,7,3,14,19880,1,"Platform","Pakenham",3810,"Cardinia","Not Busy",-38.080612,145.486374
"26","2015-09-06 06:00:00",2,2015-09-06 07:29:54,9,10,7,3,14,19880,1,"Platform","Pakenham",3810,"Cardinia","Not Busy",-38.080612,145.486374
"27","2015-09-06 07:00:00",3,2015-09-06 07:29:54,9,10,7,3,14,19880,1,"Platform","Pakenham",3810,"Cardinia","Not Busy",-38.080612,145.486374
"28","2015-09-06 08:00:00",1,2015-09-06 07:29:54,9,10,7,3,14,19880,1,"Platform","Pakenham",3810,"Cardinia","Not Busy",-38.080612,145.486374
"29","2015-09-06 09:00:00",3,2015-09-06 07:29:54,9,10,7,3,14,19880,1,"Platform","Pakenham",3810,"Cardinia","Not Busy",-38.080612,145.486374
"30","2015-09-06 10:00:00",10,2015-09-06 07:29:54,9,10,7,3,14,19880,1,"Platform","Pakenham",3810,"Cardinia","Slightly Busy",-38.080612,145.486374
"31","2015-09-06 05:00:00",1,2015-09-06 07:30:22,9,10,7,3,14,19880,1,"Platform","Pakenham",3810,"Cardinia","Not Busy",-38.080612,145.486374
